input,output,model,configuration,machine,tokens_per_second
10,10,bloom-560m,no-ds-1gpu,CSL (RTX 3090),0.87
10,10,bloom-560m,ds-1gpu,CSL (RTX 3090),0.9
10,250,bloom-560m,no-ds-1gpu,CSL (RTX 3090),4.27
10,250,bloom-560m,ds-1gpu,CSL (RTX 3090),3.67
10,500,bloom-560m,no-ds-1gpu,CSL (RTX 3090),8.47
10,500,bloom-560m,ds-1gpu,CSL (RTX 3090),7.2
50,10,bloom-560m,no-ds-1gpu,CSL (RTX 3090),0.83
50,10,bloom-560m,ds-1gpu,CSL (RTX 3090),0.9
50,250,bloom-560m,no-ds-1gpu,CSL (RTX 3090),4.2
50,250,bloom-560m,ds-1gpu,CSL (RTX 3090),3.77
50,500,bloom-560m,no-ds-1gpu,CSL (RTX 3090),8.33
50,500,bloom-560m,ds-1gpu,CSL (RTX 3090),7.47
100,10,bloom-560m,no-ds-1gpu,CSL (RTX 3090),0.83
100,10,bloom-560m,ds-1gpu,CSL (RTX 3090),0.97
100,250,bloom-560m,no-ds-1gpu,CSL (RTX 3090),4.17
100,250,bloom-560m,ds-1gpu,CSL (RTX 3090),3.7
100,500,bloom-560m,no-ds-1gpu,CSL (RTX 3090),8.23
100,500,bloom-560m,ds-1gpu,CSL (RTX 3090),6.4
