input,output,model,configuration,machine,tokens_per_second
10,10,T5 small,ds-1gpu,GCP (T4),54.4
10,10,T5 small,ds-2gpu,GCP (T4),18.2
10,250,T5 small,ds-1gpu,GCP (T4),69.7
10,250,T5 small,ds-2gpu,GCP (T4),24.9
10,500,T5 small,ds-1gpu,GCP (T4),73.7
10,500,T5 small,ds-2gpu,GCP (T4),25.5
50,10,T5 small,ds-1gpu,GCP (T4),65.9
50,10,T5 small,ds-2gpu,GCP (T4),20.8
50,250,T5 small,ds-1gpu,GCP (T4),78.7
50,250,T5 small,ds-2gpu,GCP (T4),26.0
50,500,T5 small,ds-1gpu,GCP (T4),81.9
50,500,T5 small,ds-2gpu,GCP (T4),26.8
100,10,T5 small,ds-1gpu,GCP (T4),63.9
100,10,T5 small,ds-2gpu,GCP (T4),20.3
100,250,T5 small,ds-1gpu,GCP (T4),65.1
100,250,T5 small,ds-2gpu,GCP (T4),21.8
100,500,T5 small,ds-1gpu,GCP (T4),65.6
100,500,T5 small,ds-2gpu,GCP (T4),22.1
